hexValue,newLine,codeValue
0x00,x,P0
0x01,x,P1
0x02,x,P2
0x03,x,P3
0x04,x,P4
0x05,x,P5
0x06,x,P6
0x07,x,P7
0x08,x,P8
0x09,x,P9
0x0A, ,0
0x0B, ,1
0x0C, ,2
0x0D, ,3
0x0E, ,.
0x0F,x,0x0F
0x10, ,RND0
0x11, ,RND1
0x12, ,RND2
0x13, ,RND3
0x14, ,RND4
0x15, ,RND5
0x16, ,RND6
0x17, ,RND7
0x18, ,RND8
0x19, ,RND9
0x1A, ,4
0x1B, ,5
0x1C, ,6
0x1D, ,7
0x1E, ,8
0x1F, ,9
0x20,x,LBL0
0x21,x,LBL1
0x22,x,LBL2
0x23,x,LBL3
0x24,x,LBL4
0x25,x,LBL5
0x26,x,LBL6
0x27,x,LBL7
0x28,x,LBL8
0x29,x,LBL9
0x2A,x,HLT
0x2B,x,@"@
0x2C, ,FIX
0x2D,x,0x2D
0x2E,x,0x2E
0x2F,x,0x2F
0x30,x,GOTO0
0x31,x,GOTO1
0x32,x,GOTO2
0x33,x,GOTO3
0x34,x,GOTO4
0x35,x,GOTO5
0x36,x,GOTO6
0x37,x,GOTO7
0x38,x,GOTO8
0x39,x,GOTO9
0x3A, ,xD
0x3B,x,0x3B
0x3C, ,ENG
0x3D, ,�,
0x3E, ,log
0x3F, ,ln
0x40,x,GSBP0
0x41,x,GSBP1
0x42,x,GSBP2
0x43,x,GSBP3
0x44,x,GSBP4
0x45,x,GSBP5
0x46,x,GSBP6
0x47,x,GSBP7
0x48,x,GSBP8
0x49,x,GSBP9
0x4A, ,+/-
0x4B, ,(
0x4C,x,)
0x4D, ,sin
0x4E, ,cos
0x4F, ,tan
0x50, ,X<->M00
0x51, ,X<->M01
0x52, ,X<->M02
0x53, ,X<->M03
0x54, ,X<->M04
0x55, ,X<->M05
0x56, ,X<->M06
0x57, ,X<->M07
0x58, ,X<->M08
0x59, ,X<->M09
0x5A, ,*
0x5B, ,/
0x5C, ,+
0x5D, ,-
